date,ad_male,yearling_male,ad_female,yearling_female,yearling,calf,unknown,ids,collars,total
6/20/2016,0,0,0,0,NA,0,1,NA,0,1
6/20/2016,0,0,6,0,NA,7,0,,0,13
6/20/2016,0,0,1,0,NA,0,0,NA,0,1
6/20/2016,0,0,1,0,NA,1,0,NA,0,2
6/20/2016,0,0,1,2,NA,2,0,NA,0,5
6/20/2016,0,0,4,2,NA,1,0,FO2016010,1,7
6/21/2016,0,0,2,0,NA,1,0,,0,3
6/21/2016,0,0,1,0,NA,0,0,NA,0,1
7/21/2016,0,0,0,1,NA,0,0,NA,0,1
7/21/2016,0,0,1,0,NA,0,0,FO2016012,1,1
8/21/2016,0,0,1,0,NA,1,0,,0,2
6/22/2016,0,0,0,1,NA,0,0,NA,0,1
6/22/2016,0,0,1,0,NA,1,0,FO2016004,1,2
6/22/2016,0,0,0,0,NA,0,2,NA,0,2
6/22/2016,0,0,0,1,NA,0,0,NA,0,1
6/22/2016,0,0,1,0,NA,0,0,FO2016009,1,1
6/22/2016,1,0,1,0,NA,0,0,FO2016011,1,2
7/22/2016,0,0,1,1,NA,1,0,NA,0,3
7/22/2016,0,0,0,1,NA,0,0,NA,0,1
7/22/2016,0,0,0,1,NA,0,0,NA,0,1
8/22/2016,0,0,1,0,NA,0,0,FO2016005,1,1
8/22/2016,0,0,1,0,NA,1,0,FO2016010 & ,1,2
5/23/2016,2,0,7,0,NA,0,0,FO2016003 & FO2016004,2,9
6/23/2016,0,0,1,0,NA,1,0,NA,0,2
6/23/2016,0,0,1,0,NA,1,0,NA,0,2
6/23/2016,0,0,1,0,NA,1,0,NA,0,2
6/23/2016,0,0,0,0,NA,4,0,NA,0,4
6/23/2016,0,0,0,1,NA,0,0,NA,0,1
6/23/2016,0,0,0,1,NA,0,0,NA,0,1
6/23/2016,0,0,1,0,NA,1,0,FO2016002,1,2
6/23/2016,0,1,1,0,NA,0,0,NA,0,2
6/23/2016,0,0,1,0,NA,0,0,NA,0,1
6/23/2016,0,0,1,0,NA,1,0,NA,0,2
7/23/2016,0,0,0,1,NA,0,0,NA,0,1
8/23/2016,0,0,0,2,NA,0,0,NA,0,2
5/24/2016,0,0,2,0,NA,1,0,NA,0,3
6/24/2016,0,0,0,0,NA,0,2,NA,0,2
6/24/2016,0,0,1,0,NA,0,0,FO2016005,1,1
6/24/2016,0,0,1,0,NA,0,0,FO2016015,1,1
7/24/2016,0,0,1,2,NA,1,0,NA,0,4
7/24/2016,0,0,2,0,NA,1,0,FO2016001,1,3
6/25/2016,0,0,1,0,NA,0,0,NA,0,1
6/25/2016,0,0,1,0,NA,0,0,FO2016004,1,1
6/25/2016,1,0,0,0,NA,0,0,NA,0,1
6/25/2016,1,0,0,0,NA,0,0,NA,0,1
6/25/2016,0,0,0,1,NA,0,0,NA,0,1
6/25/2016,0,0,0,0,NA,1,0,NA,0,1
6/25/2016,0,0,1,0,NA,0,0,FO2016002,1,1
6/25/2016,0,0,1,0,NA,1,0,FO2016011,1,2
6/25/2016,0,0,1,0,NA,1,0,NA,0,2
